Model,Listing_Count,Min_Price,Median_Price,Max_Price,Avg_Price
NVIDIA H100 PCIe 80GB,7,23800.0,34995.0,49999.0,34024.71428571428
NVIDIA A100 40GB PCIe,6,12000.0,17429.495000000003,27589.26,18699.524999999998
NVIDIA A800 Active 40GB,10,13200.0,15875.28,21475.25,16646.678
NVIDIA RTX PRO 6000 Blackwell,7,8031.08,9299.0,11990.0,9788.152857142859
NVIDIA RTX 6000 Ada,16,3199.0,7383.995,22800.0,8093.934375
NVIDIA A40,13,4900.0,6300.0,13200.0,6902.846153846154
RTX A6000,13,3199.0,4439.0,8899.0,4944.2307692307695
NVIDIA L4,19,1980.0,2599.0,11184.81,4103.441578947369
NVIDIA RTX 4000 SFF Ada,19,1085.16,1581.8,2208.0,1641.155789473684
NVIDIA A2,26,521.0,975.0,5576.0,1462.1538461538462
RTX A4000,24,400.0,845.0,1360.0,869.9133333333333
NVIDIA Rtx A2000 12Gb,13,325.0,599.99,819.99,608.7138461538461
